Estacion,Fecha,temperatura,radiacion,humedad relativa,precipitacion,velocidad viento,mojadura,direccion viento,eto,indice calor
Pueblo Real (ACAX-TNC),2024-10-03 00:00,12.7,0,100,0,3.4,3,86.8,0.005,15.76
Pueblo Real (ACAX-TNC),2024-10-03 00:15,12.6,0,100,0,2.2,3,61.8,0.0051,15.9
Pueblo Real (ACAX-TNC),2024-10-03 00:30,12.6,0,100,0,4.6,3,263,0.0049,15.9
Pueblo Real (ACAX-TNC),2024-10-03 00:45,12.7,0,100,0,5.7,4,255.2,0.0048,15.76
Pueblo Real (ACAX-TNC),2024-10-03 01:00,12.7,0,100,0,3.9,4,214.5,0.0049,15.76
Pueblo Real (ACAX-TNC),2024-10-03 01:15,12.7,0,100,0,4.1,4,214.1,0.0049,15.76
Pueblo Real (ACAX-TNC),2024-10-03 01:30,12.7,0,100,0,4.5,5,234.5,0.0049,15.76
Pueblo Real (ACAX-TNC),2024-10-03 01:45,12.7,0,100,0,5.4,5,221.1,0.0048,15.76
Pueblo Real (ACAX-TNC),2024-10-03 02:00,12.8,0,100,0,5.6,5,228,0.0048,15.63
Pueblo Real (ACAX-TNC),2024-10-03 02:15,12.7,0,100,0,5.5,5,200.4,0.0048,15.76
Pueblo Real (ACAX-TNC),2024-10-03 02:30,12.7,0,100,0,6.4,5,228.1,0.0047,15.76
Pueblo Real (ACAX-TNC),2024-10-03 02:45,12.8,0,100,0,6.6,5,230,0.0047,15.63
Pueblo Real (ACAX-TNC),2024-10-03 03:00,12.9,0,100,0,5.5,6,231.2,0.0048,15.5
Pueblo Real (ACAX-TNC),2024-10-03 03:15,12.9,0,100,0,6.2,7,246.3,0.0047,15.5
Pueblo Real (ACAX-TNC),2024-10-03 03:30,12.9,0,100,0,6.1,7,226.2,0.0047,15.5
Pueblo Real (ACAX-TNC),2024-10-03 03:45,12.8,0,100,0,5.2,6,235.5,0.0048,15.63
Pueblo Real (ACAX-TNC),2024-10-03 04:00,12.8,0,100,0,3.8,6,203.9,0.005,15.63
